!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Mononuclear cells
!perturbation	Dexamethasone
!disease	Epilepsy - glucocorticoid dexamethasone (20 mg/m2) - 6 hrs
!end_metadata
DDIT4	0.091957
LGALS2	-0.085639
ZBTB16	0.080045
FOS	-0.077889
CD14	-0.073868
FCGR1B	-0.069197
S100A12	-0.068399
LPL	0.066291
TREML1	0.063714
VCAN	-0.063634
RNASE2	-0.060286
NOG	-0.060231
EGR2	-0.060157
CREB5	-0.059533
ASGR2	-0.058871
SGK1	-0.058701
IGSF6	-0.058249
AGPAT9	-0.057636
RHOBTB1	0.057148
S100A9	-0.056416
PDZK1IP1	0.056408
FKBP5	0.055994
TFEC	-0.054061
OLIG1	-0.053895
CSF3R	-0.053880
TYMP	-0.052415
MYL9	0.051839
GFOD1	0.051207
XK	0.050454
QPCT	-0.049854
KIAA1598	-0.049094
JADE3	0.048819
LCN2	0.048724
CLEC10A	-0.048627
IL1R2	0.048454
SH3BGRL2	0.048150
DMXL2	-0.048083
PTGDS	0.047836
MIR21	-0.047785
EGR1	-0.047785
S100A8	-0.047462
CACNA2D3	-0.046812
ELOVL7	0.046615
TMEM158	0.046331
SESN1	0.045977
EVA1C	0.045785
MS4A6A	-0.045706
SULF2	-0.045214
PROS1	0.044748
MNDA	-0.044525
CD36	-0.044476
CYP1B1	-0.044034
SELP	0.043508
RTN1	-0.043487
VMP1	-0.043360
KCNJ2	0.043213
GUCY1B3	0.043001
CLIC3	0.042571
TGFBI	-0.042374
KLF4	-0.042266
MARCKS	-0.042262
TTC7B	0.042235
ALOX12	0.042140
FCN1	-0.042093
MMRN1	0.041925
CPVL	-0.041647
ASAP2	0.041469
HIST1H2BJ	0.041390
MLH3	0.041352
LOC100130872	0.041097
PRAM1	-0.040921
TSPAN33	0.040521
TRBV27	0.040359
GLT1D1	-0.040291
KIR2DL2	0.040189
FCER1A	-0.040157
PF4V1	0.040138
KIR3DL1	0.040097
LOC100130938	0.040096
CD300LF	-0.039972
CD200	0.039819
HIST2H2BE	0.039801
CXCR6	0.039623
SPARC	0.039427
CCR1	-0.039252
DDX11L2	0.039222
CES1	-0.039114
EGF	0.039087
LYZ	-0.038959
SPON2	0.038943
CCL4	0.038598
YPEL1	0.038459
VSIG4	0.037759
TMEM170B	-0.037475
ITGA2B	0.037472
P2RY12	0.037464
GRB14	0.037418
OSCAR	-0.037410
OVOS2	0.037377
CCND3	0.037364
SIRPB2	-0.037273
TNFAIP2	-0.037102
TNFSF4	0.037049
LOC100130476	0.036997
PLA2G7	-0.036992
NLRP12	-0.036901
TLR5	-0.036695
HK3	-0.036606
CMTM5	0.036433
CXCL8	-0.036418
C1QB	0.036107
C5AR1	-0.036090
ESAM	0.036021
C2orf88	0.035926
KIR2DS2	0.035889
HIST1H2BG	0.035753
MILR1	-0.035707
LOC285812	0.035645
ANKRD55	0.035623
MS4A14	-0.035369
APBA2	0.035296
P2RX5	0.035232
TUBB1	0.034935
STAG3	0.034928
HIST1H2BH	0.034656
KIR3DL3	0.034515
KLRD1	0.034503
TRIM58	0.034501
CSTA	-0.034390
MYOM2	0.034384
FAM198B	-0.034369
LAIR2	0.034301
TMEM140	0.034288
CFP	-0.034241
CYFIP1	-0.034232
SMIM5	0.034152
PRKAR2B	0.034082
STEAP4	-0.034045
SCO2	-0.034029
GP9	0.034009
TLE1	0.033887
LOC284837	-0.033810
HIST1H2AE	0.033778
GZMM	-0.033778
PTGS1	0.033705
MGLL	0.033697
SLC14A1	0.033653
HIST1H2BF	0.033586
FAM81B	0.033536
JUNB	-0.033509
WASF3	0.033447
FAR2P2	0.033366
H2BFS	0.033320
CSF1R	-0.033292
GFI1B	0.033274
BEND2	0.033248
HIST1H2BO	0.033228
GMPR	0.033169
NAT8B	0.033073
FCGRT	-0.032879
HIST1H2BE	0.032845
NOD2	-0.032796
KIR2DL5A	0.032774
C19orf33	0.032757
CISH	-0.032744
CLEC1B	0.032680
ADAP2	-0.032665
PVALB	0.032659
LY6G5C	0.032642
CTTN	0.032561
PTAFR	-0.032510
FPR1	-0.032297
BST1	-0.032279
GSAP	0.032068
IER3	-0.031955
IFI6	-0.031880
KCTD12	-0.031871
PDGFD	0.031835
MARCH2	0.031775
CLEC4A	-0.031774
FLJ12120	0.031725
KIR2DL3	0.031668
LINC01088	0.031641
CLASRP	-0.031591
AQP9	-0.031503
TNFSF13B	-0.031397
GPR56	0.031382
ASGR1	-0.031233
RAB27B	0.031075
HIST1H2BI	0.031026
CLEC12A	-0.030974
ZNF185	0.030967
NPCDR1	-0.030873
TIMP2	-0.030845
NRGN	0.030822
ALDH1A1	-0.030540
SPI1	-0.030513
SLC35D3	0.030481
MGC24103	0.030430
CD163	0.030347
ALDH2	-0.030246
TMEM40	0.030221
PRRG4	-0.030194
HIST1H2BC	0.030133
EMR1	-0.030090
C15orf54	0.030085
CAPG	-0.030036
SPRY2	0.029996
FHIT	-0.029958
MGST1	-0.029917
MS4A7	-0.029852
DUSP6	-0.029845
TMTC2	-0.029800
ERMN	0.029793
CD68	-0.029735
HEXIM2	0.029680
LOC100505650	0.029659
NCF2	-0.029639
PGRMC1	0.029627
GUCY1A3	0.029621
SLC46A2	-0.029618
CXCR4	0.029594
LMO2	-0.029558
CLEC7A	-0.029554
KATNAL1	0.029543
KLRG1	0.029524
GNG11	0.029436
TMEM45A	0.029433
MCEMP1	-0.029405
TRMT2B	-0.029381
RAB34	-0.029340
NEXN	0.029294
CXCL5	0.029245
HIST1H1C	0.029213
MEIS1	0.029142
MAL	-0.029133
TREM1	-0.029106
SH2D1B	0.029028
C12orf79	0.029006
PARVB	0.028999
RGS2	-0.028996
TGFB1I1	0.028956
PMAIP1	-0.028942
GNAZ	0.028934
HIST1H3H	0.028811
CMPK2	-0.028761
FAM179A	0.028702
WLS	-0.028665
ENPP5	0.028590
PROK2	-0.028526
SDPR	0.028418
IFI44L	-0.028201
NPIPB3	-0.028104
RIN2	-0.028099
LTBP1	0.028061
A2M-AS1	0.028013
SECTM1	-0.027972
GAS2L1	0.027905
HIST1H2AC	0.027779
PARP15	0.027743
KIR3DS1	0.027641
HCK	-0.027454
KIR2DS1	0.027435
BCAT1	0.027351
PF4	0.027342
ADAMTS1	0.027335
CEBPA	-0.027277
NAMPT	-0.027216
SCGB1C1	0.027204
CD33	-0.027101
HRASLS	0.027082
LRRK2	-0.027081
PPBP	0.027079
PBX4	0.027068
CD83	-0.027064
