ID	baseMean	baseMean.untrt	baseMean.C15Dx	C15Dx/untrt	log2(C15Dx/untrt)	pval	padj	untrt_1	untrt_2	C15Dx_1	C15Dx_2	untrt_1_norm	untrt_2_norm	C15Dx_1_norm	C15Dx_2_norm
ENSMUSG00000000001	7760.914034	5454.778965	10067.0491	1.845546661	0.884048214	5.48E-53	3.87E-51	4985	5195	12481	9422	5500.35	5409.2	10128.91	10005.19
ENSMUSG00000000003	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000028	3307.623847	3262.47084	3352.776854	1.027680252	0.03939146	0.505091656	0.845413178	2958	3132	4209	3098	3263.8	3261.14	3415.8	3289.76
ENSMUSG00000000031	20.85054321	25.09045124	16.61063519	0.66203015	-0.595031174	0.23313234	0.496259991	20	27	20	16	22.07	28.11	16.23	16.99
ENSMUSG00000000037	45.50316976	47.82641286	43.17992665	0.902846859	-0.147446796	0.73211658	1	48	41	58	37	52.96	42.69	47.07	39.29
ENSMUSG00000000049	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000056	10016.90354	12084.43433	7949.372747	0.657819185	-0.60423701	5.14E-27	1.58E-25	10920	11640	9709	7552	12048.92	12119.95	7879.3	8019.45
ENSMUSG00000000058	7.20387703	10.81629038	3.591463682	0.332042092	-1.590561957	0.099026085	0.253887977	13	7	1	6	14.34	7.29	0.81	6.37
ENSMUSG00000000078	3285.761694	4061.214624	2510.308764	0.61811773	-0.694046448	5.22E-27	1.60E-25	3766	3810	3105	2355	4155.33	3967.1	2519.85	2500.77
ENSMUSG00000000085	827.5235896	942.5036981	712.5434811	0.756011337	-0.403520225	6.36E-06	4.31E-05	827	934	844	697	912.5	972.51	684.94	740.14
ENSMUSG00000000088	4784.850079	4586.123847	4983.576311	1.086664137	0.119906105	0.040821912	0.121425613	4323	4228	6209	4641	4769.92	4402.33	5038.89	4928.26
ENSMUSG00000000093	42.00656993	42.73690278	41.27623708	0.96582191	-0.050170903	0.921191956	1	35	45	52	38	38.62	46.86	42.2	40.35
ENSMUSG00000000094	2.154945706	3.247994518	1.061896893	0.32693925	-1.612905506	0.397789461	0.724711994	4	2	0	2	4.41	2.08	0	2.12
