!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Macrophages (monocytedifferentiated macrophages)
!perturbation	Dexamethasone
!disease	24 hrs - 0.5 uM
!end_metadata
IL18R1	0.099039
PKP2	0.092948
GLDN	0.085322
SAA1	0.083327
NPR3	0.081860
SRPX	0.081659
AREG	0.077525
FKBP5	0.066618
TRIM63	0.066268
PARM1	-0.065957
DAAM2	0.064389
APCDD1	0.058894
ZBTB16	0.058094
TSC22D3	0.055463
PDK4	0.054820
CAMP	0.053905
CSGALNACT1	0.053771
VSTM2L	0.053331
LGALS2	-0.052674
ABCA6	0.052528
MET	0.052073
CCL13	-0.051824
TFPI	0.050524
MTMR11	0.047564
IRX3	0.046501
TBX15	0.046479
ARHGEF37	0.046402
LOC728763	-0.045823
PTPRD	-0.045086
ZNF750	0.044950
SAP30	0.044528
FAM19A4	-0.044392
CALCR	0.043921
DNASE1L3	0.043620
ZNF280A	0.043595
ALOX15B	0.042745
TMEM236	0.042628
GPR98	0.042482
NMNAT2	0.042448
SEMA3A	-0.041951
TPST1	0.041274
IL17D	0.040807
MAN1A1	0.040179
FBXL21	0.039957
SIAH2	0.039381
FAM150B	-0.039266
CCL5	-0.038801
CCDC40	0.038659
LIX1	0.038171
FBLN5	0.038051
SLC10A1	-0.037930
SLC7A11	-0.037842
PABPC5	-0.037660
IL1B	-0.037525
TBC1D16	0.037478
TMOD1	0.037285
KLHL13	-0.036896
PER3	-0.036852
UNC5B	-0.036749
CRIM1	-0.036435
GRIN3A	-0.036371
LOC646999	-0.036255
WWC1	-0.035475
MYH2	-0.035249
CAPN6	-0.035231
SPG20OS	-0.034861
TCHH	0.034713
LOC729680	0.034694
SH2D4A	0.034201
DUSP1	0.034112
CH25H	0.034067
HIST1H4C	-0.033672
METTL7A	0.033622
PER1	0.033448
CA8	0.033405
PRICKLE1	-0.033333
EDN2	0.033013
IL21R	-0.032929
MMP12	-0.032902
NHSL1	0.032852
CXCL3	-0.032727
CACNA1G	0.032559
INSM1	-0.032487
SESN1	0.032472
ISG20	0.032463
GJB7	-0.032349
MAL2	-0.032226
ACOT12	-0.032154
MFGE8	0.032127
ZCCHC6	0.032031
EDNRB	0.031926
TEF	-0.031720
IQCH	0.031642
RNF144B	0.031635
ITGB3	-0.031635
STK32B	-0.031536
G0S2	-0.031414
IFIT1	-0.031371
LOC100130744	0.031201
SH3GL2	-0.031138
MID1	0.031073
TMEM150C	-0.030928
ADH6	-0.030786
ITGB8	-0.030672
LYPD6B	0.030641
TGFBI	-0.030636
OLR1	-0.030620
MYCN	0.030619
IRAK3	0.030594
CRYBA1	0.030549
GRAMD3	0.030468
LOC100289333	-0.030381
PCYT1B	-0.030295
CRISPLD2	0.030260
UBASH3A	0.030258
PLAU	-0.030252
ITGA2	-0.030237
ARHGAP24	0.030173
PTGDR2	0.030094
GREM1	-0.030077
TESC	-0.030068
CCDC68	0.030051
HLA-DPB2	-0.029983
HIST1H4B	-0.029983
TLR7	-0.029918
CCR7	-0.029909
SLC30A2	0.029837
TNFRSF17	0.029781
WNT3	-0.029740
GGTA1P	-0.029674
AKR1B1	0.029528
LOC146880	-0.029382
ABLIM3	0.029348
NEURL3	-0.029296
FLJ16779	-0.029213
HIST1H1A	-0.029194
GADD45B	0.029174
SYT6	-0.029168
SLC30A10	0.029165
TMEM31	-0.029083
SAMD5	0.029051
RNASE4	0.029039
KCNMA1	0.029021
EBI3	0.029016
SSTR2	-0.028966
MYBPC1	0.028889
LOC100131541	-0.028806
BLM	0.028767
RANBP3L	-0.028674
ANGPTL1	-0.028623
SULF2	-0.028540
LOC100129148	0.028418
IRS2	0.028370
IL17RB	0.028313
BMP4	-0.028313
ENOX1	-0.028283
SPDYE3	-0.028225
SRGAP3	-0.028221
KRTAP12-4	-0.028036
ABO	-0.028021
SGMS2	0.027993
EPHB3	-0.027727
ECSCR	-0.027716
MSC	-0.027712
ADAMTS2	0.027674
AFAP1L2	0.027649
ALG11	-0.027641
NTF3	0.027555
SLC16A7	-0.027509
ITPR2	-0.027494
RARRES1	-0.027485
SOCS3	-0.027483
CDX4	0.027469
SERPINB7	-0.027457
PER2	-0.027437
KLF9	0.027416
PCOLCE2	0.027298
ANG	0.027263
RGS9	-0.027168
LOC100129572	-0.027113
LOC646813	-0.027107
IL17RD	-0.027059
NHSL2	-0.027053
LOC643802	-0.027020
RSAD2	-0.026915
EPN3	-0.026913
LMO3	-0.026888
SPNS2	-0.026811
GLT1D1	0.026796
LRRC2	-0.026781
SCARF1	-0.026770
TBX6	-0.026754
LOC100190986	-0.026749
FRAT1	0.026706
CACNA1E	-0.026630
HLA-DQB2	-0.026612
AATK-AS1	0.026602
SCN8A	0.026544
CHST2	-0.026539
FEV	0.026489
UGT3A2	-0.026459
GAP43	0.026431
PLA2G12B	0.026385
IL7R	-0.026345
NEFL	0.026336
PNLIPRP2	-0.026298
HIST1H4G	0.026250
TMEM100	-0.026209
OLIG1	0.026064
MRVI1	0.026061
N4BP2	-0.025998
PPM1E	-0.025990
PART1	-0.025949
SPATA13	-0.025927
P2RY1	0.025915
ARHGEF35	-0.025861
LACC1	-0.025842
