gene_id	logFC
ENSG00000120251	5.832890014164742
ENSG00000177133	5.392317422778761
ENSG00000140067	5.392317422778761
ENSG00000169876	5.392317422778761
ENSG00000237732	5.309855262586788
ENSG00000257935	5.011227255423255
ENSG00000253661	4.977279923499917
ENSG00000188888	4.754887502163469
ENSG00000182578	4.75304380217978
ENSG00000248713	4.584962500721157
ENSG00000019186	4.523561956057013
ENSG00000015592	4.475733430966398
ENSG00000173452	4.459431618637297
ENSG00000258670	4.459431618637297
ENSG00000214814	4.392317422778761
ENSG00000205922	4.392317422778761
ENSG00000270587	4.392317422778761
ENSG00000164929	4.2761244052742375
ENSG00000154764	4.247927513443585
ENSG00000171094	4.227535724612408
ENSG00000053328	4.169925001442312
ENSG00000260072	4.169925001442312
ENSG00000105851	4.169925001442312
ENSG00000091831	4.124695747449315
ENSG00000156427	4.117398798007744
ENSG00000218672	4.08746284125034
ENSG00000206762	4.08746284125034
ENSG00000265179	4.08746284125034
ENSG00000231728	4.08746284125034
ENSG00000009709	4.0303736490435185
ENSG00000179455	4.017921907997263
ENSG00000134115	3.9541963103868754
ENSG00000226702	3.9541963103868754
ENSG00000129159	3.9307373375628862
ENSG00000111886	3.9068905956085187
ENSG00000116194	3.9068905956085187
ENSG00000091138	3.9068905956085187
ENSG00000134376	3.8579809951275723
ENSG00000188064	3.8240336632042347
ENSG00000174083	3.8073549220576037
ENSG00000164438	3.8073549220576037
ENSG00000181195	3.8073549220576037
ENSG00000272908	3.8073549220576037
ENSG00000250606	3.8073549220576037
ENSG00000234571	3.8073549220576037
ENSG00000217236	3.798741791752896
ENSG00000143520	3.7548875021634687
ENSG00000138722	3.725825036561006
ENSG00000241336	3.700439718141092
ENSG00000165972	3.700439718141092
ENSG00000252105	3.700439718141092
ENSG00000180210	3.700439718141092
ENSG00000164778	3.6643202923344402
ENSG00000109132	3.620586410451878
ENSG00000176136	3.5849625007211565
ENSG00000135472	3.5849625007211565
ENSG00000157219	3.5849625007211565
ENSG00000269392	3.5849625007211565
ENSG00000227740	3.5849625007211565
ENSG00000233639	3.5468944598876364
ENSG00000164287	3.5443205162238103
ENSG00000267280	3.523561956057013
ENSG00000174963	3.5115003387801353
ENSG00000005102	3.491853096329675
ENSG00000232470	3.4594316186372978
ENSG00000187950	3.4594316186372978
ENSG00000204653	3.4594316186372978
ENSG00000162383	3.4594316186372978
ENSG00000207047	3.4594316186372978
ENSG00000178732	3.4594316186372978
ENSG00000260306	3.4594316186372978
ENSG00000144820	3.4594316186372978
ENSG00000250197	3.4594316186372978
ENSG00000082482	3.4093909361377017
ENSG00000122025	3.4020984435713455
ENSG00000182968	3.3923174227787602
ENSG00000146910	3.3245972816633467
ENSG00000251467	3.3219280948873626
ENSG00000260891	3.3219280948873626
ENSG00000257242	3.3219280948873626
ENSG00000171595	3.3219280948873626
ENSG00000259192	3.3219280948873626
ENSG00000109061	3.3219280948873626
ENSG00000204818	3.3219280948873626
ENSG00000268965	3.3219280948873626
ENSG00000257639	3.3219280948873626
ENSG00000169218	3.3219280948873626
ENSG00000112319	3.273018494406416
ENSG00000160307	3.2479275134435857
ENSG00000231252	3.2326607567902754
ENSG00000172238	3.20945336562895
ENSG00000152977	3.199444088362368
ENSG00000111783	3.1984135584020086
ENSG00000070729	3.1963972128035034
ENSG00000198914	3.19566432224119
ENSG00000261496	3.1699250014423126
ENSG00000211683	3.1699250014423126
ENSG00000041515	3.1699250014423126
ENSG00000237058	3.1699250014423126
ENSG00000226609	3.1699250014423126
ENSG00000202474	3.1699250014423126
ENSG00000124203	3.1699250014423126
ENSG00000222012	3.1699250014423126
ENSG00000267268	3.1699250014423126
ENSG00000165409	3.1699250014423126
